"","Purity","Fmeasure","RI","ball_hall","banfeld_raftery","c_index","calinski_harabasz","davies_bouldin","det_ratio","dunn","gamma","g_plus","gdi11","gdi12","gdi13","gdi21","gdi22","gdi23","gdi31","gdi32","gdi33","gdi41","gdi42","gdi43","gdi51","gdi52","gdi53","ksq_detw","log_det_ratio","log_ss_ratio","mcclain_rao","pbm","point_biserial","ray_turi","ratkowsky_lance","scott_symons","sd_scat","sd_dis","s_dbw","silhouette","tau","trace_w","trace_wib","wemmert_gancarski","xie_beni","infomax"
"11",0.87,0.7692,0.7715,0.018551641428393,-398.807762352515,0.467573615410417,3.31248085000918,4.55003838934233,3.94637799992389,0.0249702392054801,15.2857141494751,4.08204085334524e-06,0.0249702392054801,0.193589514779841,0.0643851692645372,1.00564851348545,7.79660163295477,2.59304082866699,0.272311802790348,2.11118160852211,0.702149521721041,0.0810396624530225,0.628285087824057,0.208958846619046,0.1845577113223,1.43084082974748,0.475877679215585,0.154864158575985,137.279819620157,-3.38727006850425,0.935689237243005,0.000668490910154127,-0.00541076568828605,7.39331066621325,0.428452621210264,-1249.1575843163,0.999406007467428,39.9368080219128,2.0708345448362,0.0695207114848266,-1.23532914580028e-05,1.8541815088133,2.94637799992389,0.170825762748613,77.8733390855456,0.99971144175281
"12",0.8,0.6759,0.6768,0.016433351020496,-414.86311499679,0.471616183481987,2.68217291854091,4.95117327332989,3.09592477083264,0.0110094080355101,1.65625,1.71445721862388e-06,0.0110094080355101,0.0764294752505444,0.0268520629874426,1.06692553867263,7.40680686819278,2.60224270686876,0.274963909853109,1.90885352555991,0.670639892974687,0.0757223073483682,0.525679146120235,0.184687510892011,0.185351849021792,1.28674897975995,0.452075125993955,0.110669729033715,113.008665660559,-3.59834022216053,0.938080900748086,0.000465406504544888,-0.00474912407529622,9.00284982861432,0.405933033720637,-1281.63507169702,1.01703184686551,47.3433187277624,2.01703184686551,0.043119061320536,-1.22373854571028e-05,1.60665489162338,2.09592477083264,0.111075712349542,425.892260385546,0.989587521222056
"13",0.8,0.6737,0.6768,0.0161148144769409,-412.852892206548,0.46890440825857,3.66738919189893,4.1928434298944,3.88822369783137,0.0114769370217059,-0.484375,-7.75587750844557e-06,0.0114769370217059,0.0887868136549255,0.0318559584294867,1.00626965397517,7.78460978614136,2.79305220593798,0.263239181228341,2.03644649144566,0.730659791751272,0.0830758842797975,0.642683935863591,0.230589565064695,0.174401124119279,1.34918576960931,0.484076452584184,0.130695716548836,135.795242039355,-3.2854874616165,0.938777525621616,0.000651945458954267,-0.00477624344883028,6.66981297050027,0.423193634468782,-1263.89880404876,0.993707662689271,40.6148025576728,1.9544919787522,0.0712939311535992,7.15790273475257e-06,1.61735350722222,2.88822369783137,0.186401336982659,349.471371482759,0.998845535995202
"14",0.73,0.5998,0.6018,0.0168045595283021,-408.878280990251,0.163290356375871,135.043133883721,0.712258619808054,2.78180457865814,0.0451870295053093,1.5263158082962,-1.22461221836677e-06,0.0451870295053093,0.292276331447768,0.105730014948176,1.65501056259821,10.7048509503524,3.8724451117624,0.582455550248633,3.76740788942675,1.36284758499561,0.557832307585219,3.60814114600948,1.30523335712145,0.200163455449055,1.29468657464383,0.46834866926184,0.000727109720418401,102.309984612316,0.320626758985113,0.49518802701976,0.0567235603121705,-0.081502925526202,0.179609279660859,0.383821907381277,-2748.10560040816,0.436091437127726,6.46718930405029,1.43609143712773,0.477980099185186,1.00437930105762e-05,1.7177407370954,1.78180457865814,0.609264032981993,27.372124862532,0.992774453987808
"15",0.72,0.5899,0.5927,0.0161120659076389,-413.464242788066,0.158519006786218,142.866818372938,0.683847066078578,2.79537512081947,0.0410850810964543,-4.75,-5.63321627976076e-06,0.0410850810964543,0.271516470445265,0.0981554336602231,1.68761211298111,11.1528192757262,4.03183575106056,0.590921238638947,3.90518516075749,1.41175650357053,0.57057163792382,3.77070199524613,1.36313973491146,0.196227386371318,1.29679596413983,0.468802389852192,1.6296327507069,102.796630898595,0.37694537757334,0.476788957432879,0.0596159311144471,-0.0840331746453303,0.170390859663822,0.544265074978684,-1049.61407632704,0.432166743402967,6.44826202628618,1.38671218169261,0.496022338906623,1.3160917627354e-05,1.63915843082483,1.79537512081947,0.62683747732736,32.8623303188648,0.995378438820226
"16",0.72,0.5899,0.5927,0.0169617122180128,-408.26751808233,0.15836646793369,135.903234092089,0.718152581409473,2.97038166941562,0.0549823389587529,-3.66666674613953,5.87813887398131e-06,0.0549823389587529,0.347881103087734,0.125906392039949,1.67870285327409,10.6213924582514,3.84413292641968,0.593840729920764,3.75731502325209,1.35986109661111,0.566966743981203,3.58727948002007,1.29832121537905,0.204765258031965,1.29557900204361,0.468900656868649,0.00249278660844135,108.869045277888,0.326975639790486,0.495784976436621,0.0568813597481287,-0.0819447876788415,0.179121565153518,0.395873290101707,-2624.35499184085,0.432586104617,6.44471875708565,1.28258612845886,0.477158226869163,1.01593055665303e-05,1.72504300787976,1.97038166941561,0.612274536074356,19.0465633261499,0.995378438820226
"17",0.72,0.5968,0.5927,0.0181518424367284,-399.029046476729,0.182857928103529,116.492114234257,0.761359109416666,2.70334068798221,0.064052636268444,-1.0625,5.38829406190819e-06,0.064052636268444,0.404390392960164,0.145003020192032,1.5866115391669,10.0169251599552,3.59178760553328,0.56161384325952,3.54569703916267,1.27138722460991,0.53057012172504,3.34970537540567,1.20111012685495,0.205755069971178,1.29901559789792,0.46579045459745,4.64747228599356e-07,99.4488300040794,0.172856103067843,0.53152842168437,0.0507733317775012,-0.0761596217668787,0.201902078562186,0.314050968126354,-4429.62623303719,0.45128264497929,6.50809654086022,1.45128264497929,0.449441185015156,-7.853927330995e-06,1.9067458422963,1.70334068798222,0.568867285901851,13.8532716748416,0.970950594454669
"18",0.71,0.5899,0.584,0.00888173908907257,-485.25005657219,0.211456927294368,123.13553881214,0.626670984743275,2.29195647952334,0.0262598123970509,-1.28070175647736,-5.14337146768765e-06,0.0262598123970509,0.191611542060882,0.0676935707963758,1.37929627622953,10.0643935474898,3.55560385247105,0.465586187956761,3.39727055501209,1.20020627336261,0.462115200667569,3.37194359467819,1.19125862666043,0.155613132186785,1.13547163903511,0.401145614494754,0.108395568371481,82.9405810680657,0.228318211572008,0.499685510691924,0.0338464351791682,-0.0584897661589034,0.189337702379887,0.375335433473107,-1311.65345142197,0.378721354198253,8.61164403557809,1.44768690843562,0.511845524836822,-8.43389694234228e-06,1.02123326843585,1.29195647952334,0.59054828575137,58.6346548428264,0.964799548505087
"19",0.69,0.5636,0.5679,0.00915410698293171,-485.085597298612,0.154527050641081,151.418478186492,0.648686258070684,2.76595044896231,0.054367203682627,-6.42857122421265,-2.12266122868481e-06,0.054367203682627,0.381807242005943,0.137429978462112,1.43898261995325,10.1056141975976,3.63747511499699,0.505977987259961,3.55335655957556,1.27901637717776,0.496225276471113,3.48486571663818,1.25436337421144,0.161684306728924,1.13546835309353,0.408707258904286,0.00299018815928072,101.738431875177,0.435079903673354,0.453689611273735,0.0382648885737776,-0.0666128560130526,0.161738516284896,0.324987267616691,-2123.81277638018,0.369031695144626,8.36206850468428,1.44595482708738,0.507849729090804,5.1953095776502e-06,0.925222112873594,1.76595044896231,0.632955059235688,13.4740212294132,0.99971144175281
"20",0.69,0.5657,0.5679,0.00642719728140212,-509.106951090545,0.154793527289894,163.093046293694,0.615827149182462,2.75708754788439,0.0539802168921691,0.333333343267441,-8.89884911298415e-06,0.0539802168921691,0.392086467761726,0.134793148714056,1.58528260262132,11.5147343203077,3.95858419827767,0.547651009401141,3.97787489945021,1.36753070298093,0.542938825181586,3.94364784790318,1.35576398204419,0.170483764342133,1.23831249335581,0.425712320611942,0.0728859675262288,101.41748863015,0.509353395428839,0.440527610983661,0.0299536384134426,-0.059812206610349,0.148718786920702,0.400388600288198,-1331.6076369172,0.351042626816429,9.43499831507058,1.57326483579317,0.547151850518866,2.19347204466218e-06,0.668254930496072,1.75708754788439,0.660693618847646,15.045214421247,0.992774453987808
